title,author,groups,maxgroup
Sams Teach Yourself Oracle PL/SQL in 10 Minutes,Ben Forta,0,0
Essential SQLAlchemy,Rick Copeland,5,5
Just Hibernate,Madhusudhan Konda,0,0
Effective Oracle by Design (Osborne ORACLE Press Series),Thomas Kyte,3,3
A Visual Introduction to SQL,David Chappell,"2,0",2
Writing Stored Procedures for Microsoft SQL Server,Matt Shepker,5,5
Oracle Database Ajax & PHP Web Application Development (Oracle Press),Lee Barney,0,0
Conducting the Oracle Job Interview: IT Manager Guide for Oracle Job Interviews with Oracle Interview Questions (IT Job Interview series),Mike Ault,7,7
Oracle Developer Forms Techniques,Bulusu Lakshman,7,7
A Guided Tour of Relational Databases and Beyond,Mark Levene,5,5
Understanding Relational Database Query Languages,Suzanne W Dietrich,6,6
Microsoft SQL Server 2014 Unleashed,Ray Rankins,6,6
SQL QuickStart Guide: The Simplified Beginner's Guide To SQL,ClydeBank Technology,7,7
Microsoft SQL Server 2008 Reporting Services Step by Step (Step by Step Developer),Stacia Misner,5,5
Beginning SQL 2012 Joes 2 Pros Volume 1: The SQL Queries 2012 Hands-On Tutorial for Beginners (SQL Exam Prep Series 70-461 Volume 1 Of 5),Rick Morelan,3,3
PROC SQL by Example: Using SQL within SAS,Howard Schreier,6,6
Beginning T-SQL,Kathi Kellenberger,6,6
Professional SQL Server 2012 Internals and Troubleshooting,Christian Bolton,0,0
Adobe InDesign CC Classroom in a Book (2015 release),Kelly Kordes Anton,2,2
Unity in Action: Multiplatform Game Development in C# with Unity 5,Joe Hocking,4,4
Adobe Photoshop CC Classroom in a Book,Adobe Creative Team,5,5
Adobe Illustrator CC Classroom in a Book,Adobe Creative Team,2,2
Photoshop CC For Dummies,Peter Bauer,7,7
Teach Yourself VISUALLY Photoshop Elements 13 (Teach Yourself VISUALLY (Tech)),Richard Wentk,5,5
The Digital Print: Preparing Images in Lightroom and Photoshop for Printing,Jeff Schewe,4,4
Photoshop: Absolute Beginners Guide to Mastering Photoshop and Creating World Cla,Andrew Mckinnon,4,4
Adobe After Effects CC Classroom in a Book,Adobe Creative Team,2,2
Professional Portrait Retouching Techniques for Photographers Using Photoshop (Voices That Matter),Scott Kelby,1,1
The Adobe Photoshop Lightroom 5 Book: The Complete Guide for Photographers,Martin Evening,5,5
Adobe InDesign Creative Cloud Revealed (Stay Current with Adobe Creative Cloud),Chris Botello,1,1
"Design with Adobe Creative Cloud Classroom in a Book: Basic Projects using Photoshop, InDesign, Muse, and More",Adobe Creative Team,7,7
Illustrator CC Digital Classroom,Jennifer Smith,2,2
How To Cheat In Photoshop CC: The art of creating realistic photomontages,Steve Caplin,5,5
The Hidden Power of Blend Modes in Adobe Photoshop,Scott Valentine,1,1
InDesign CC Digital Classroom,Christopher Smith,2,2
Designing Sound,Andy Farnell,5,5
"Principles of Digital Audio, Sixth Edition (Digital Video/Audio)",Ken Pohlmann,7,7
iMovie '11 & iDVD: The Missing Manual (Missing Manuals) (English and English Edition),David Pogue,2,2
"Universal Windows Platform Apps via C#: Writing cross-device experiences for PCs, tablets, phones, Xbox, Microsoft Surface Hub, HoloLens, and Band (Developer Reference)",Doug Holland,7,7
The Essential Guide to Game Audio: The Theory and Practice of Sound for Games,Steve Horowitz,7,7
Writing Interactive Music for Video Games: A Composer's Guide (Game Design),Michael Sweet,7,7
"The Mixing Engineer's Handbook, Second Edition",Bobby Owsinski,5,5
Acoustic Design for the Home Studio,Mitch Gallagher,4,4
Microsoft Word 2013 Plain & Simple,Jay Freedman,0,0
Windows 8.1 Step by Step,Ciprian Rusen,5,5
The Art of Producing,David Gibson,6,6
Apple Pro Training Series: Logic Pro 9 Advanced Music Production,David Dvorin,5,5
Home Recording Studio  Build it Like the Pros,Rod Gervais,0,0
Location Audio Simplified: Capturing Your Audio... and Your Audience,Dean Miles,0,0
Scoring with Logic Pro,Jay Asher,6,6
"The Audio Dictionary: Third Edition, Revised and Expanded",Glenn White,0,0
iTunes Music: Mastering High Resolution Audio Delivery: Produce Great Sounding Music with Mastered for iTunes,Bob Katz,1,1
The Studio Business Book,Mitch Gallagher,4,4
"Composing Music for Games: The Art, Technology and Business of Video Game Scoring",Chance Thomas,5,5
Multimedia Programming using Max/MSP and TouchDesigner,Patrik Lechner,4,4
Augmented Human: How Technology Is Shaping the New Reality,Helen Papagiannis,6,6
Expert Podcasting Practices For Dummies,Tee Morris,5,5
Audio Mashup Construction Kit: ExtremeTech,Jordan Roseman,0,0
Getting Started with C++ Audio Programming for Game Development,David Gouveia,7,7
Sound Moves: iPod Culture and Urban Experience (International Library of Sociology),Michael Bull,"7,1",7
Computers in Music Education: Amplifying Musicality,Andrew Brown,6,6
The MacAddict Guide to Making Music with GarageBand,Jay Shaffer,5,5
Sample This! (Third Edition),Simon Cann,6,6
iPod / iTunes Para Dummies (Spanish Edition),Tony Bove,0,0
iPhone Open Application Development: Write Native Objective-C Applications for the iPhone,Jonathan Zdziarski,4,4
GarageBand for Mac OS X,Victor Gavenda,4,4
Fast Guide to CUBASE 4,Simon Millward,5,5
Pro Tools All-in-One Desk Reference For Dummies,Jeff Strong,1,1
CCNA Voice Study Guide: Exam 640-460,Andrew Froehlich,5,5
Teach Yourself VISUALLY Mac OS X Leopard,Lynette Kent,4,4
Real World Digital Audio,Peter Kirn,0,0
Instant ACID,John Rofrano,4,4
"Audio for Games: Planning, Process, and Production",Alexander Brandon,7,7
Kontakt 2 Power!: The Comprehensive Guide,David Das,5,5
YouTube for Business: Online Video Marketing for Any Business,Michael Miller,4,4
YouTube Channels For Dummies,Rob Ciampa,6,6
Getting Started with Processing,Casey Reas,"1,7",1
Adobe Creative Cloud Design Tools Digital Classroom,Jennifer Smith,7,7
The Art of Finding Nemo,Mark Cotta Vaz,6,6
Apple Pro Training Series: Motion 5,Mark Spencer,6,6
"The Muvipix.com Guide to CyberLink PowerDirector 13 Ultimate: The fun, easy, powerful way to make great-looking movies on your PC",Steve Grisetti,7,7
Production Pipeline Fundamentals for Film and Games,Renee Dunlop,6,6
Media Composer 6: Part 1 - Editing Essentials (Avid Learning),Mary Plummer,6,6
Ray Tracing from the Ground Up,Kevin Suffern,"5,2",5
Stop Staring: Facial Modeling and Animation Done Right,Jason Osipa,4,4
Digital Texturing and Painting,Owen Demers,2,2
Game Programming Patterns,Robert Nystrom,4,4
Beginning C++ Through Game Programming,Michael Dawson,4,4
The Game Maker's Apprentice: Game Development for Beginners,Jacob Habgood,1,1
Diablo III: Reaper of Souls Signature Series Strategy Guide,BradyGames,5,5
Challenges for Game Designers,Brenda Brathwaite,6,6
Game Mechanics: Advanced Game Design (Voices That Matter),Ernest Adams,4,4
Persuasive Games: The Expressive Power of Videogames,Ian Bogost,4,4
ZBrush Studio Projects: Realistic Game Characters,Ryan Kingslien,6,6
Game Design Workshop: A Playcentric Approach to Creating Innovative Games,Tracy Fullerton,7,7
The GameMaker Standard (Focal Press Game Design Workshops),David Vinciguerra,0,0
Pervasive Games: Theory and Design (Morgan Kaufmann Game Design Books),Markus Montola,0,0
Level Up!: The Guide to Great Video Game Design,Scott Rogers,"0,4",0
"Level Design: Concept, Theory, and Practice",Rudolf Kremers,4,4
Unit Operations: An Approach to Videogame Criticism,Ian Bogost,7,7
Gender Inclusive Game Design: Expanding The Market (Charles River Media Game Development),Sheri Graner Ray,4,4
"Game Design Workshop: Designing, Prototyping, & Playtesting Games (Gama Network Series)",Tracy Fullerton,2,2
Logic in Games,Johan van van Benthem,6,6
Game Development Essentials: Game Level Design,Jeannie Novak,4,4
Foundation Game Design with ActionScript 3.0,Rex van der Spuy,4,4
"Mastering Unreal Technology, Volume II: Advanced Level Design Concepts with Unreal Engine 3",Jason Busby,2,2
Game Character Creation with Blender and Unity,Chris Totten,2,2
A Game Design Vocabulary: Exploring the Foundational Principles Behind Good Game Design,Anna Anthropy,2,2
"Holistic Game Development with Unity: An All-in-One Guide to Implementing Game Mechanics, Art, Design and Programming",Penny de Byl,2,2
Microsoft Flight Simulator X For Pilots Real World Training,Jeff Van West,0,0
"Physically Based Rendering, Second Edition: From Theory To Implementation",Matt Pharr,6,6
Unity for Absolute Beginners,Sue Blackman,2,2
"Learning Processing: A Beginner's Guide to Programming Images, Animation, and Interaction (Morgan Kaufmann Series in Computer Graphics)",Daniel Shiffman,2,2
iOS Game Development By Example,Samanyu Chopra,4,4
The Game Production Handbook,Heather Maxwell Chandler,5,5
Minecraft: Handbook,Tony Williams,5,5
Pokemon Fire Red & Leaf Green (Prima Official Game Guide),Eric Mylonas,5,5
Pokemon Sapphire Version / Pokemon Ruby Version (Prima's Official Strategy Guide),Elizabeth Hollinger,1,1
Meet the Pokemon (DK Reader - Level 2 (Quality)),Michael Teitelbaum,4,4
Level 3 Reader: Become a Pokemon Trainer (pb) (DK Reader - Level 3 (Quality)),BradyGames,4,4
Pokemon Trading Card Game (Game Boy Version) (Prima's Official Strategy Guide),Elizabeth Hollinger,5,5
Pokemon Stadium (Prima's Official Strategy Guide),Prima Development,5,5
Pokemon ReaderActive: Nacrene City Adventures! (DK Reader: Active!),BradyGames,4,4
Become a Pokemon Trainer. (DK Readers Level 3),Michael Teitelbaum,4,4
Pokemon Master Pokedex: Prima's Official Strategy Guide,Elizabeth Hollinger,5,5
Pokemon Pocket Pokedex (Prima Official Game Guide),Prima Games,5,5
Versus Books Official Pokemon Gold & Silver Adventure Guide,Versus Books Staff,5,5
Pokemon Trainer's Guide: Everything Pokemon,Brian Brokaw,5,5
Meet the Pokemon (DK Reader - Level 2),BradyGames,4,4
Pokemon Future: The unauthorized Guide,Hank Schlesinger,5,5
Level 2 Reader: Meet Ash (hc) (Pokemon (DK Publishing)),BradyGames,2,2
Pokemon Black Version 2 & Pokemon White Version 2 Volume 2: The Official National Pokedex & Guide,The Pokemon Company,4,4
Pokemon Master: The Ultimate Quiz!,Cynthia Boris,5,5
40 Crazy Pokemon Theories,Garrett Oden,2,2
Pokemon the First Movie Ebook,Luvero,5,5
The Legend of Zelda: A Link Between Worlds: Prima Official Game Guide (Prima Official Game Guides),Stephen Stratton,5,5
StarCraft II:  Heart of the Swarm Collector's Edition Strategy Guide,BradyGames,0,0
World of Warcraft: Warlords of Draenor Signature Series Strategy Guide,BradyGames,5,5
Yo-Kai Watch Standard Edition Guide,Rick Barba,0,0
Legend of Zelda: The Wind Waker: Prima Official Game Guide (Prima Official Game Guides),Stephen Stratton,6,6
Final Fantasy XII Signature Series Guide (Bradygames Signature Guides),BradyGames,5,5
OS X Yosemite: The Missing Manual (Missing Manuals),David Pogue,0,0
The Sketchnote Handbook: the illustrated guide to visual note taking,Mike Rohde,7,7
Tableau Your Data!: Fast and Easy Visual Analysis with Tableau Software,Dan Murray,2,2
Cool Infographics: Effective Communication with Data Visualization and Design,Randy Krum,2,2
The Book of Alternative Photographic Processes,Christopher James,5,5
Introducing Autodesk Maya 2015: Autodesk Official Press,Dariush Derakhshani,"4,0",4
"Graphics Shaders: Theory and Practice, Second Edition",Mike Bailey,5,5
ZBrush Character Creation: Advanced Digital Sculpting,Scott Spencer,5,5
Face It: A Visual Reference for Multi-ethnic Facial Modeling,Patricia Beckmann Wells,7,7
Maya Studio Projects Texturing and Lighting,Lee Lanier,6,6
Introduction to Google SketchUp,Aidan Chopra,"4,6",4
The Mathematica GuideBook for Graphics,Michael Trott,5,5
Make: Getting Started with MakerBot,Bre Pettis,1,1
Accurate Visual Metrology from Single and Multiple Uncalibrated Images,Antonio Criminisi,4,4
Discovering AutoCAD 2015,Mark Dix,6,6
Automating SOLIDWORKS 2015 Using Macros,Mike Spens,5,5
Technical Drawing 101 with AutoCAD 2016,Antonio Ramirez,4,4
Interior Design Using Autodesk Revit 2015,Daniel John Stine,4,4
SketchUp to LayOut: The essential guide to creating construction documents with SketchUp Pro & LayOut,Donley Matt,4,4
AutoCAD 2015 and AutoCAD LT 2015 Essentials: Autodesk Official Press,Scott Onstott,0,0
Residential Design Using Autodesk Revit 2014,Daniel John Stine,4,4
Quantifying and Exploring the Gap Between FPGAs and ASICs,Ian Kuon,4,4
Radionuclide Imaging of Infection and Inflammation: A Pictorial Case-Based Atlas,Elena Lazzeri,0,0
"Burn Your Portfolio: Stuff they don't teach you in design school, but should",Michael Janda,4,4
Rise of the DEO: Leadership by Design (Voices That Matter),Maria Giudice,0,0
Visual Design: Ninety-five things you need to know. Told in Helvetica and Dingbats. (Creative Core),Jim Krause,0,0
Teach Yourself VISUALLY Photoshop Elements 12,Mike Wooldridge,5,5
Exploring Adobe InDesign Creative Cloud (Stay Current with Adobe Creative Cloud),Terry Rydberg,1,1
"The Last Layer: New methods in digital printing for photography, fine art, and mixed media (Voices That Matter)",Bonny Pierce Lhotka,4,4
Japanese Bookbinding: Instructions From A Master Craftsman,Kojiro Ikegami,6,6
A New Introduction to Bibliography,Philip Gaskell,5,5
Preparing Your Design for Print,Lynn John,4,4
Digital Publishing with Adobe InDesign CC: Moving Beyond Print to Digital,Diane Burns,2,2
"Just a Geek: Unflinchingly honest tales of the search for life, love, and fulfillment beyond the Starship Enterprise",Wil Wheaton,5,5
"Implementing Responsive Design: Building sites for an anywhere, everywhere web (Voices That Matter)",Tim Kadlec,4,4
Adobe Acrobat X Classroom in a Book,Adobe Creative Team,2,2
PDF Hacks: 100 Industrial-Strength Tips & Tools,Sid Steward,0,0
XSLT Jumpstarter: Level the Learning Curve and Put Your XML to Work,David James Kelly,5,5
Adobe Creative Suite 3 Design Premium All-in-One Desk Reference For Dummies,Jennifer Smith,7,7
How to Communicate Technical Information: A Handbook of Software and Hardware Documentation,Jonathan Price,7,7
Joomla! Explained: Your Step-by-Step Guide (Joomla! Press),Stephen Burge,6,6
EPUB Straight to the Point: Creating ebooks for the Apple iPad and other ereaders (One-Off),Elizabeth Castro,0,0
OpenOffice.org Writer: The Free Alternative to Microsoft Word,Jean Hollis Weber,7,7
The Latex Companion (Addison-Wesley Series on Tools and Techniques for Computer T),Michel Goossens,1,1
Foundation Dreamweaver Ultradev 4,Spencer Steel,4,4
Digital Food Photography,Lou Manna,0,0
"Machine Rendering: The Art of Machine Rendering in the West, Japan and China (Fantasy Specials)",Cypi,0,0
"SolidWorks 2015  Learn by doing (Part, Assembly, Drawings, Sheet metal, Surface Design, Mold Tools, Weldments, DimXpert, and Rendering)",Tutorial Books,7,7
"Interior Design Visual Presentation: A Guide to Graphics, Models and Presentation Techniques",Maureen Mitton,0,0
Advanced Animation and Rendering Techniques,Alan Watt,2,2
"Non-Photorealistic Computer Graphics: Modeling, Rendering, and Animation (The Morgan Kaufmann Series in Computer Graphics)",Thomas Strothotte,2,2
Non-Photorealistic Rendering,Bruce Gooch,6,6
Rendering for Beginners: Image synthesis using RenderMan,Saty Raghavachary,1,1
Fashion Rendering with Color,Bina Abling,"5,4",5
"Basic CAD for Interior Designers: AutoCAD, Architectural Desktop, and VIZ Render 2007",Jin Feng,4,4
Haptic Rendering for Simulation of Fine Manipulation,Dangxiao Wang,6,6
Digital Lighting & Rendering,Jeremy Birn,5,5
Ray Tracing Worlds With Pov-Ray/Book and 2 Disks,Alexander Enzmann,5,5
Badass: Making Users Awesome,Kathy Sierra,4,4
Evil by Design: Interaction Design to Lead Us into Temptation,Chris Nodder,3,3
Web Animation using JavaScript: Develop & Design (Develop and Design),Julian Shapiro,7,7
Microinteractions: Full Color Edition: Designing with Details,Dan Saffer,2,2
Web Analytics: An Hour a Day,Avinash Kaushik,4,4
Learning Responsive Web Design: A Beginner's Guide,Clarissa Peterson,4,4
"Switching to the Mac: The Missing Manual, Mavericks Edition",David Pogue,"0,4",0
Android Design Patterns: Interaction Design Solutions for Developers,Greg Nudelman,2,2
"Pro JavaFX 8: A Definitive Guide to Building Desktop, Mobile, and Embedded Java Clients",Johan Vos,"4,2",4
"Digital Design Essentials: 100 Ways to Design Better Desktop, Web, and Mobile Interfaces",Rajesh Lal,4,4
Smashing UX Design: Foundations for Designing Online User Experiences,Jesmond Allen,0,0
Patterns of Enterprise Application Architecture,Martin Fowler,6,6
The Elements of Computing Systems: Building a Modern Computer from First Principles,Noam Nisan,2,2
Adventures in Raspberry Pi,Carrie Anne Philbin,4,4
Amazon Fire TV Stick User Guide: Newbie to Expert in 1 Hour!,Tom Edwards,7,7
Introduction to Computing Systems: From bits & gates to C & beyond,Yale Patt,2,2
Raspberry Pi For Dummies,Sean McManus,4,4
Arduino Projects For Dummies,Brock Craft,2,2
The Windows Serial Port Programming Handbook,Ying Bai,2,2
Structured Parallel Programming: Patterns for Efficient Computation,Michael McCool,7,7
Enterprise Master Data Management: An SOA Approach to Managing Core Information,Allen Dreibelbis,5,5
Multi-Net Optimization of VLSI Interconnect,Konstantin Moiseev,6,6
JavaScript Application Design: A Build First Approach,Nicolas Bevacqua,7,7
Advanced Compiler Design and Implementation,Steven Muchnick,4,4
"SOA with REST: Principles, Patterns & Constraints for Building Enterprise Solutions with REST (The Prentice Hall Service Technology Series from Thomas Erl)",Thomas Erl,2,2
MPLS in the SDN Era: Interoperable Scenarios to Make Networks Scale to New Services,Antonio Sanchez Monge,2,2
Embedded Software Development for Safety-Critical Systems,Chris Hobbs,5,5
Getting Started with Bluetooth Low Energy: Tools and Techniques for Low-Power Networking,Kevin Townsend,7,7
Cabling: The Complete Guide to Copper and Fiber-Optic Networking,Andrew Oliviero,6,6
Alien Ocean: Anthropological Voyages in Microbial Seas,Stefan Helmreich,5,5
Introduction to Reliable and Secure Distributed Programming,Christian Cachin,"2,4",2
OPC Unified Architecture,Wolfgang Mahnke,6,6
CEH Certified Ethical Hacker: Exam Guide (All-in-One),Matt Walker,5,5
"Routing, Flow, and Capacity Design in Communication and Computer Networks (The Morgan Kaufmann Series in Networking)",Michal Pioro,0,0
A Classical Introduction to Cryptography Exercise Book,Thomas Baigneres,0,0
Nagios Core Administration Cookbook,Tom Ryder,5,5
Raspberry Pi 2: 101 Beginners Guide: The Definitive Step by Step guide for what you need to know to get started,Andy Gates,3,3
Murach's CICS for the COBOL Programmer,Raul Menendez,"2,5",2
Principal Bundles: The Quantum Case (Universitext),Stephen Bruce Sontz,6,6
NumPy Cookbook - Second Edition,Ivan Idris,6,6
SVA: The Power of Assertions in SystemVerilog,Eduard Cerny,6,6
Raspberry Pi 2: The Disaster To Master Step By Step User Guide,Matt Eleck,3,3
Functional Verification of Dynamically Reconfigurable FPGA-based Systems,Lingkan Gong,5,5
Hard Real-Time Computing Systems: Predictable Scheduling Algorithms and Applications (Real-Time Systems Series),Giorgio Buttazzo,7,7
"The 8051/8052 Microcontroller: Architecture, Assembly Language, and Hardware Interfacing",Craig Steiner,3,3
BMC Control-M 7: A Journey from Traditional Batch Scheduling to Workload Automation,Qiang Ding,7,7
"Engineering Embedded Systems: Physics, Programs, Circuits",Peter Hintenaus,7,7
Gaming Hacks: 100 Industrial-Strength Tips & Tools,Simon Carless,0,0
High Performance Computing: Programming and Applications (Chapman & Hall/CRC Computational Science),John Levesque,4,4
Correct-by-Construction Approaches for SoC Design,Roopak Sinha,4,4
"The Functional Analysis of Quantum Information Theory: A Collection of Notes Based on Lectures by Gilles Pisier, K. R. Parthasarathy, Vern Paulsen and Andreas Winter (Lecture Notes in Physics)",Ved Prakash Gupta,3,3
Building the Perfect PC,Robert Bruce Thompson,4,4
"Mike Meyers' CompTIA A+ Guide to 802 Managing and Troubleshooting PCs, Fourth Edition (Exam 220-802) (Mike Meyers' Computer Skills)",Mike Meyers,7,7
"The Healthy Mac: Preventive Care, Practical Diagnostics, and Proven Remedies",Heather Morris,6,6
Build It. Fix It. Own It: A Beginner's Guide to Building and Upgrading a PC,Paul McFedries,4,4
The Geek Squad Guide to Solving Any Computer Glitch,Robert Stephens,5,5
"A+ Guide to Hardware: Managing, Maintaining and Troubleshooting (Available Titles CourseMate)",Jean Andrews,"7,1",7
Enterprise Services Architecture for Financial Services: Taking SOA to the next level,Bruno Bonati,6,6
SAP Smart Forms: Creating forms quickly and easily - no programming required!,Werner Hertleif,7,7
CompTIA A+ Complete Study Guide: Exams 220-701 (Essentials) and 220-702 (Practical Application),Quentin Docter,4,4
Inventory Optimization with SAP,Marc Hoppe,4,4
"Microsoft Windows 7 Administrator's Reference: Upgrading, Deploying, Managing, and Securing Windows 7",Jorge Orchilles,7,7
PC Help Desk in a Book: The Do-it-Yourself Guide to PC Troubleshooting and Repair,Mark Edward Soper,1,1
How to Build Your Own PC: Save a Buck and Learn a Lot,Charlie Palmer,"7,1",7
Hardware Hacking: Have Fun While Voiding Your Warranty,Joe Grand,2,2
"Advanced Chip Design, Practical Examples in Verilog",Mr Kishore K Mishra,2,2
How Computers Work: Processor And Main Memory (Second Edition),Roger Young,5,5
"Programmable Logic Controllers, Third Edition",Frank Petruzella,6,6
Make: Getting Started with BeagleBone: Linux-Powered Electronic Projects With Python and JavaScript,Matt Richardson,7,7
Formal Verification: An Essential Toolkit for Modern VLSI Design,Erik Seligman,7,7
PIC Microcontroller,Muhammad Ali Mazidi,2,2
The Zynq Book Tutorials for Zybo and ZedBoard,Louise H Crockett,5,5
Modern Processor Design: Fundamentals of Superscalar Processors,John Paul Shen,2,2
Beyond Software Architecture: Creating and Sustaining Winning Solutions,Luke Hohmann,2,2
Digital Photography For Dummies,Julie Adair King,6,6
Arduino Wearables (Technology in Action),Tony Olsson,"2,7",2
Fiber Optics Installer (FOI) Certification Exam Guide,Bill Woodward,5,5
New Epson Complete Guide to Digital Printing,Rob Sheppard,6,6
SuperSpeed Device Design By Example,John Hyde,4,4
Chromecast User Guide - Newbie to Expert in 1 Hour!,Tom Edwards,2,2
Apple TV User Guide: Newbie to Expert in 1 Hour!,Tom Edwards,2,2
Arduino Android Blueprints,Marco Schwartz,5,5
Seven Deadliest USB Attacks (Seven Deadliest Attacks),Brian Anderson,2,2
Mobile Design and Development: Practical concepts and techniques for creating mobile sites and web apps (Animal Guide),Brian Fling,7,7
Raspberry Pi Networking Cookbook,Rick Golden,4,4
Requirements Engineering: Processes and Techniques,Gerald Kotonya,0,0
Holographic Memory,Askar Akaevich Akaev,0,0
Designing and Developing for Google Glass: Thinking Differently for a New Platform,Allen Firstenberg,2,2
Car PC Hacks,Damien Stolarz,0,0
Chromebook For Dummies,Mark LaFay,6,6
Surface For Dummies (For Dummies (Computer/Tech)),Andy Rathbone,5,5
iPhone for Seniors in Easy Steps: Covers iPhone 6 and iOS 8,Nick Vandome,7,7
How to Do Everything MacBook Air,Jason Rich,0,0
"Kindle Fire Owner's Manual: The ultimate Kindle Fire guide to getting started, advanced user tips, and finding unlimited free books, videos and apps on Amazon and beyond",Steve Weber,7,7
My Samsung Galaxy S 4,Steve Schwartz,6,6
Building a PC in Easy Steps: Covers Windows 8,Stuart Yarnold,7,7
"30 Arduino Projects for the Evil Genius, Second Edition",Simon Monk,3,3
"The Maker's Guide to the Zombie Apocalypse: Defend Your Base with Simple Circuits, Arduino, and Raspberry Pi",Simon Monk,3,3
Penetration Testing with Raspberry Pi,Joseph Muniz,4,4
Controller Area Network Prototyping with Arduino,Wilfried Voss,2,2
Practical Arduino: Cool Projects for Open Source Hardware (Technology in Action),Jonathan Oxer,2,2
Make: Lego and Arduino Projects: Projects for extending MINDSTORMS NXT with open-source electronics,John Baichtal,2,2
Arduino + Android Projects for the Evil Genius: Control Arduino with Your Smartphone or Tablet,Simon Monk,1,1
Teach Yourself VISUALLY Raspberry Pi,Richard Wentk,4,4
"Make a Mind-Controlled Arduino Robot: Use Your Brain as a Remote (Creating With Microcontrollers Eeg, Sensors, and Motors)",Tero Karvinen,2,2
Environmental Monitoring with Arduino: Building Simple Devices to Collect Data About the World Around Us,Emily Gertz,7,7
"Arduino and Kinect Projects: Design, Build, Blow Their Minds (Technology in Action)",Enrique Ramos Melgar,3,3
"The Internet of Things: Do-It-Yourself at Home Projects for Arduino, Raspberry Pi and BeagleBone Black",Donald Norris,3,3
Arduino Computer Vision Programming,Ozen Ozkaya,2,2
"Raspberry Pi 2: The Ultimate Raspberry Pi 2 User Guide - 47 Step-by-Step Raspberry Pi 2 Projects And Programming Tutorials For The Absolute Beginner! (Html, Php, Pi Programming)",Nathaniel Hill,3,3
Raspberry Pi Hardware Reference,Warren Gay,3,3
Data and Goliath: The Hidden Battles to Collect Your Data and Control Your World,Bruce Schneier,2,2
Digital Gold: Bitcoin and the Inside Story of the Misfits and Millionaires Trying to Reinvent Money,Nathaniel Popper,4,4
The Soul of A New Machine,Tracy Kidder,6,6
Decentralized Applications: Harnessing Bitcoin's Blockchain Technology,Siraj Raval,5,5
Hate Crimes in Cyberspace,Danielle Keats Citron,5,5
Fire in the Valley: The Birth and Death of the Personal Computer,Michael Swaine,5,5
"Geek Sublime: The Beauty of Code, the Code of Beauty",Vikram Chandra,7,7
Time Steve Jobs: The Genius Who Changed Our World,Editors of TIME,4,4
Revolution in The Valley: The Insanely Great Story of How the Mac Was Made,Andy Hertzfeld,6,6
"Genealogy Online, Tenth Edition",Elizabeth Crowe,5,5
Commodore: A Company on the Edge,Brian Bagnall,6,6
Bitcoin Programming,Mostafa Farghaly,4,4
Gates: How Microsoft's Mogul Reinvented an Industry--and Made Himself the Richest Man in America,Stephen Manes,0,0
"Animated Life: A Lifetime of tips, tricks, techniques and stories from an animation Legend (Animation Masters)",Floyd Norman,0,0
The New New Thing : A Silicon Valley Story,Michael Lewis,4,4
Machines Who Think: A Personal Inquiry into the History and Prospects of Artificial Intelligence,Pamela McCorduck,"1,7",1
"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal A Tale of Sex, Money, Genius and Betrayal",Ben Mezrich,4,4
"The Man Who Invented the Computer: The Biography of John Atanasoff, Digital Pioneer",Jane Smiley,0,0
So You Think You Know Me?,Allan Weaver,6,6
John von Neumann and the Origins of Modern Computing (History of Computing),William Aspray,7,7
A Girl's Life Online,Katherine Tarbox,0,0
"""My Dear Ones"": The Love Story of a Great Physician for His Patients",Neil Rau,"1,7",1
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",Amy Webb,1,1
The Man Who Knew Too Much: Alan Turing and the Invention of the Computer (Great Discoveries),David Leavitt,2,2
Watch My Back: The Geoff Thompson Story,Geoff Thompson,6,6
Softwar : An Intimate Portrait of Larry Ellison and Oracle,Matthew Symonds,3,3
Mafiaboy: A Portrait of the Hacker as a Young Man,Michael Calce,1,1
He Walks Like a Cowboy: One Man's Journey Through Life With a Disability,Jonah Berger,"5,0",5
"Free, Perfect, and Now: Connecting to the Three Insatiable Customer Demands, A CEO's True Story",Robert Rodin,7,7
"The Bride of Science: Romance, Reason and Byron's Daughter",Benjamin Woolley,5,5
Cyberlaw: The Law of the Internet and Information Technology,Brian Craig,5,5
Intellectual Property Licensing: Forms and Analysis (Commercial Law  ntellectual Property Series),Richard Raysman,4,4
Internet Law: Cases & Problems,James Grimmelmann,5,5
Captive Audience: The Telecom Industry and Monopoly Power in the New Gilded Age,Susan Crawford,0,0
Regulating Code: Good Governance and Better Regulation in the Information Age (Information Revolution and Global Politics),Ian Brown,4,4
The Electronic Silk Road: How the Web Binds the World Together in Commerce,Anupam Chander,6,6
Key Element Guide Itil Service Transition: Aligned to the 2011 Editions,Stuart Rance,4,4
Privacy in the Information Age (Library in a Book),Harry Henderson,5,5
Virtual Freedom: Net Neutrality and Free Speech in the Internet Age (Stanford Law Books),Dawn Nunziato,0,0
Principles of Cybercrime,Jonathan Clough,2,2
Computer Crime Law (American Casebook Series),Orin Kerr,6,6
iPad in One Hour for Litigators,Tom Mighell,0,0
Cyberthreats: The Emerging Fault Lines of the Nation State,Susan W Brenner,1,1
Bitcoin for the Befuddled,Conrad Barski,5,5
Bitcoin Decoded: Bitcoin Beginner's Guide to Mining and the Strategies to Make Money with Cryptocurrencies,Brett Combs,7,7
